id,label
TEST_000,곰팡이
TEST_001,훼손
TEST_002,곰팡이
TEST_003,훼손
TEST_004,오염
TEST_005,훼손
TEST_006,훼손
TEST_007,오염
TEST_008,오염
TEST_009,석고수정
TEST_010,몰딩수정
TEST_011,터짐
TEST_012,곰팡이
TEST_013,훼손
TEST_014,면불량
TEST_015,훼손
TEST_016,석고수정
TEST_017,훼손
TEST_018,면불량
TEST_019,오염
TEST_020,석고수정
TEST_021,몰딩수정
TEST_022,훼손
TEST_023,훼손
TEST_024,면불량
TEST_025,훼손
TEST_026,터짐
TEST_027,훼손
TEST_028,걸레받이수정
TEST_029,오염
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,훼손
TEST_034,녹오염
TEST_035,오염
TEST_036,훼손
TEST_037,훼손
TEST_038,곰팡이
TEST_039,훼손
TEST_040,훼손
TEST_041,훼손
TEST_042,오염
TEST_043,오염
TEST_044,훼손
TEST_045,훼손
TEST_046,오염
TEST_047,석고수정
TEST_048,곰팡이
TEST_049,석고수정
TEST_050,훼손
TEST_051,오염
TEST_052,훼손
TEST_053,훼손
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,몰딩수정
TEST_058,훼손
TEST_059,훼손
TEST_060,훼손
TEST_061,훼손
TEST_062,오염
TEST_063,훼손
TEST_064,훼손
TEST_065,오염
TEST_066,훼손
TEST_067,걸레받이수정
TEST_068,훼손
TEST_069,훼손
TEST_070,훼손
TEST_071,곰팡이
TEST_072,훼손
TEST_073,오염
TEST_074,훼손
TEST_075,훼손
TEST_076,훼손
TEST_077,훼손
TEST_078,면불량
TEST_079,훼손
TEST_080,훼손
TEST_081,훼손
TEST_082,오염
TEST_083,터짐
TEST_084,몰딩수정
TEST_085,훼손
TEST_086,몰딩수정
TEST_087,훼손
TEST_088,오염
TEST_089,곰팡이
TEST_090,훼손
TEST_091,훼손
TEST_092,훼손
TEST_093,훼손
TEST_094,오염
TEST_095,훼손
TEST_096,훼손
TEST_097,훼손
TEST_098,석고수정
TEST_099,훼손
TEST_100,훼손
TEST_101,걸레받이수정
TEST_102,훼손
TEST_103,터짐
TEST_104,오염
TEST_105,오염
TEST_106,가구수정
TEST_107,석고수정
TEST_108,오염
TEST_109,훼손
TEST_110,훼손
TEST_111,훼손
TEST_112,훼손
TEST_113,면불량
TEST_114,훼손
TEST_115,훼손
TEST_116,훼손
TEST_117,훼손
TEST_118,훼손
TEST_119,터짐
TEST_120,오염
TEST_121,곰팡이
TEST_122,훼손
TEST_123,석고수정
TEST_124,오염
TEST_125,훼손
TEST_126,훼손
TEST_127,훼손
TEST_128,훼손
TEST_129,석고수정
TEST_130,훼손
TEST_131,훼손
TEST_132,몰딩수정
TEST_133,오염
TEST_134,몰딩수정
TEST_135,훼손
TEST_136,훼손
TEST_137,훼손
TEST_138,훼손
TEST_139,훼손
TEST_140,훼손
TEST_141,훼손
TEST_142,훼손
TEST_143,훼손
TEST_144,훼손
TEST_145,훼손
TEST_146,터짐
TEST_147,훼손
TEST_148,석고수정
TEST_149,오염
TEST_150,오염
TEST_151,면불량
TEST_152,훼손
TEST_153,훼손
TEST_154,훼손
TEST_155,녹오염
TEST_156,오염
TEST_157,훼손
TEST_158,석고수정
TEST_159,훼손
TEST_160,훼손
TEST_161,오염
TEST_162,걸레받이수정
TEST_163,훼손
TEST_164,오염
TEST_165,훼손
TEST_166,훼손
TEST_167,오염
TEST_168,훼손
TEST_169,훼손
TEST_170,훼손
TEST_171,훼손
TEST_172,훼손
TEST_173,훼손
TEST_174,훼손
TEST_175,훼손
TEST_176,훼손
TEST_177,오타공
TEST_178,석고수정
TEST_179,꼬임
TEST_180,훼손
TEST_181,곰팡이
TEST_182,훼손
TEST_183,석고수정
TEST_184,오염
TEST_185,훼손
TEST_186,석고수정
TEST_187,훼손
TEST_188,훼손
TEST_189,꼬임
TEST_190,오염
TEST_191,훼손
TEST_192,석고수정
TEST_193,훼손
TEST_194,훼손
TEST_195,몰딩수정
TEST_196,오염
TEST_197,이음부불량
TEST_198,석고수정
TEST_199,곰팡이
TEST_200,훼손
TEST_201,오염
TEST_202,훼손
TEST_203,몰딩수정
TEST_204,훼손
TEST_205,오염
TEST_206,몰딩수정
TEST_207,훼손
TEST_208,곰팡이
TEST_209,훼손
TEST_210,꼬임
TEST_211,오타공
TEST_212,훼손
TEST_213,훼손
TEST_214,훼손
TEST_215,오염
TEST_216,훼손
TEST_217,훼손
TEST_218,석고수정
TEST_219,오염
TEST_220,훼손
TEST_221,훼손
TEST_222,곰팡이
TEST_223,오염
TEST_224,오염
TEST_225,훼손
TEST_226,훼손
TEST_227,훼손
TEST_228,곰팡이
TEST_229,걸레받이수정
TEST_230,훼손
TEST_231,오타공
TEST_232,곰팡이
TEST_233,오염
TEST_234,훼손
TEST_235,훼손
TEST_236,"창틀,문틀수정"
TEST_237,훼손
TEST_238,훼손
TEST_239,훼손
TEST_240,훼손
TEST_241,훼손
TEST_242,훼손
TEST_243,훼손
TEST_244,훼손
TEST_245,훼손
TEST_246,훼손
TEST_247,훼손
TEST_248,훼손
TEST_249,몰딩수정
TEST_250,훼손
TEST_251,훼손
TEST_252,훼손
TEST_253,훼손
TEST_254,훼손
TEST_255,훼손
TEST_256,훼손
TEST_257,훼손
TEST_258,훼손
TEST_259,훼손
TEST_260,석고수정
TEST_261,훼손
TEST_262,훼손
TEST_263,훼손
TEST_264,훼손
TEST_265,곰팡이
TEST_266,면불량
TEST_267,오염
TEST_268,훼손
TEST_269,오염
TEST_270,오염
TEST_271,훼손
TEST_272,훼손
TEST_273,훼손
TEST_274,훼손
TEST_275,오염
TEST_276,오염
TEST_277,꼬임
TEST_278,걸레받이수정
TEST_279,훼손
TEST_280,오염
TEST_281,오염
TEST_282,곰팡이
TEST_283,훼손
TEST_284,훼손
TEST_285,오염
TEST_286,훼손
TEST_287,훼손
TEST_288,훼손
TEST_289,훼손
TEST_290,오염
TEST_291,훼손
TEST_292,훼손
TEST_293,오염
TEST_294,훼손
TEST_295,훼손
TEST_296,훼손
TEST_297,훼손
TEST_298,오염
TEST_299,훼손
TEST_300,석고수정
TEST_301,훼손
TEST_302,곰팡이
TEST_303,훼손
TEST_304,몰딩수정
TEST_305,훼손
TEST_306,몰딩수정
TEST_307,터짐
TEST_308,훼손
TEST_309,훼손
TEST_310,훼손
TEST_311,훼손
TEST_312,훼손
TEST_313,훼손
TEST_314,면불량
TEST_315,훼손
TEST_316,곰팡이
TEST_317,훼손
TEST_318,석고수정
TEST_319,"창틀,문틀수정"
TEST_320,오염
TEST_321,훼손
TEST_322,훼손
TEST_323,훼손
TEST_324,오염
TEST_325,훼손
TEST_326,면불량
TEST_327,터짐
TEST_328,훼손
TEST_329,훼손
TEST_330,훼손
TEST_331,걸레받이수정
TEST_332,훼손
TEST_333,훼손
TEST_334,훼손
TEST_335,오염
TEST_336,훼손
TEST_337,훼손
TEST_338,훼손
TEST_339,훼손
TEST_340,훼손
TEST_341,훼손
TEST_342,곰팡이
TEST_343,훼손
TEST_344,훼손
TEST_345,훼손
TEST_346,훼손
TEST_347,오염
TEST_348,오염
TEST_349,"창틀,문틀수정"
TEST_350,훼손
TEST_351,훼손
TEST_352,훼손
TEST_353,석고수정
TEST_354,훼손
TEST_355,면불량
TEST_356,오염
TEST_357,곰팡이
TEST_358,걸레받이수정
TEST_359,오염
TEST_360,오염
TEST_361,오염
TEST_362,훼손
TEST_363,오타공
TEST_364,곰팡이
TEST_365,훼손
TEST_366,훼손
TEST_367,훼손
TEST_368,몰딩수정
TEST_369,훼손
TEST_370,피스
TEST_371,훼손
TEST_372,훼손
TEST_373,훼손
TEST_374,석고수정
TEST_375,훼손
TEST_376,오염
TEST_377,훼손
TEST_378,훼손
TEST_379,곰팡이
TEST_380,훼손
TEST_381,훼손
TEST_382,오염
TEST_383,훼손
TEST_384,이음부불량
TEST_385,훼손
TEST_386,오염
TEST_387,훼손
TEST_388,오염
TEST_389,석고수정
TEST_390,훼손
TEST_391,훼손
TEST_392,훼손
TEST_393,훼손
TEST_394,훼손
TEST_395,훼손
TEST_396,훼손
TEST_397,훼손
TEST_398,훼손
TEST_399,훼손
TEST_400,훼손
TEST_401,석고수정
TEST_402,훼손
TEST_403,훼손
TEST_404,오염
TEST_405,훼손
TEST_406,훼손
TEST_407,훼손
TEST_408,훼손
TEST_409,훼손
TEST_410,걸레받이수정
TEST_411,훼손
TEST_412,훼손
TEST_413,피스
TEST_414,훼손
TEST_415,곰팡이
TEST_416,오염
TEST_417,오염
TEST_418,훼손
TEST_419,훼손
TEST_420,훼손
TEST_421,훼손
TEST_422,훼손
TEST_423,오염
TEST_424,오염
TEST_425,훼손
TEST_426,오염
TEST_427,훼손
TEST_428,"창틀,문틀수정"
TEST_429,훼손
TEST_430,오염
TEST_431,훼손
TEST_432,들뜸
TEST_433,걸레받이수정
TEST_434,훼손
TEST_435,가구수정
TEST_436,훼손
TEST_437,훼손
TEST_438,면불량
TEST_439,훼손
TEST_440,훼손
TEST_441,훼손
TEST_442,훼손
TEST_443,훼손
TEST_444,훼손
TEST_445,오염
TEST_446,면불량
TEST_447,훼손
TEST_448,훼손
TEST_449,오염
TEST_450,훼손
TEST_451,면불량
TEST_452,훼손
TEST_453,오염
TEST_454,훼손
TEST_455,훼손
TEST_456,훼손
TEST_457,훼손
TEST_458,훼손
TEST_459,훼손
TEST_460,훼손
TEST_461,오염
TEST_462,훼손
TEST_463,몰딩수정
TEST_464,훼손
TEST_465,훼손
TEST_466,훼손
TEST_467,오염
TEST_468,오염
TEST_469,곰팡이
TEST_470,터짐
TEST_471,훼손
TEST_472,훼손
TEST_473,훼손
TEST_474,오염
TEST_475,오타공
TEST_476,훼손
TEST_477,오염
TEST_478,훼손
TEST_479,훼손
TEST_480,오염
TEST_481,오염
TEST_482,훼손
TEST_483,오염
TEST_484,걸레받이수정
TEST_485,석고수정
TEST_486,걸레받이수정
TEST_487,오염
TEST_488,몰딩수정
TEST_489,훼손
TEST_490,들뜸
TEST_491,훼손
TEST_492,훼손
TEST_493,훼손
TEST_494,훼손
TEST_495,훼손
TEST_496,훼손
TEST_497,꼬임
TEST_498,걸레받이수정
TEST_499,오염
TEST_500,훼손
TEST_501,훼손
TEST_502,오염
TEST_503,오염
TEST_504,훼손
TEST_505,훼손
TEST_506,터짐
TEST_507,훼손
TEST_508,훼손
TEST_509,훼손
TEST_510,훼손
TEST_511,훼손
TEST_512,훼손
TEST_513,훼손
TEST_514,몰딩수정
TEST_515,훼손
TEST_516,훼손
TEST_517,오타공
TEST_518,훼손
TEST_519,석고수정
TEST_520,곰팡이
TEST_521,걸레받이수정
TEST_522,가구수정
TEST_523,훼손
TEST_524,오타공
TEST_525,오염
TEST_526,오염
TEST_527,훼손
TEST_528,훼손
TEST_529,훼손
TEST_530,훼손
TEST_531,오염
TEST_532,오염
TEST_533,훼손
TEST_534,이음부불량
TEST_535,훼손
TEST_536,훼손
TEST_537,훼손
TEST_538,오염
TEST_539,오타공
TEST_540,오염
TEST_541,오염
TEST_542,오염
TEST_543,훼손
TEST_544,오염
TEST_545,훼손
TEST_546,훼손
TEST_547,훼손
TEST_548,오염
TEST_549,오염
TEST_550,훼손
TEST_551,훼손
TEST_552,훼손
TEST_553,훼손
TEST_554,오타공
TEST_555,꼬임
TEST_556,석고수정
TEST_557,울음
TEST_558,오염
