id,label
TEST_000,훼손
TEST_001,오염
TEST_002,훼손
TEST_003,몰딩수정
TEST_004,오염
TEST_005,몰딩수정
TEST_006,오염
TEST_007,오염
TEST_008,오염
TEST_009,훼손
TEST_010,몰딩수정
TEST_011,오타공
TEST_012,오염
TEST_013,오염
TEST_014,훼손
TEST_015,훼손
TEST_016,훼손
TEST_017,걸레받이수정
TEST_018,훼손
TEST_019,오염
TEST_020,오염
TEST_021,훼손
TEST_022,훼손
TEST_023,터짐
TEST_024,오염
TEST_025,훼손
TEST_026,오염
TEST_027,곰팡이
TEST_028,훼손
TEST_029,훼손
TEST_030,오염
TEST_031,훼손
TEST_032,훼손
TEST_033,훼손
TEST_034,곰팡이
TEST_035,훼손
TEST_036,훼손
TEST_037,훼손
TEST_038,오타공
TEST_039,면불량
TEST_040,오염
TEST_041,오염
TEST_042,석고수정
TEST_043,오염
TEST_044,훼손
TEST_045,훼손
TEST_046,오염
TEST_047,걸레받이수정
TEST_048,오염
TEST_049,훼손
TEST_050,오염
TEST_051,오염
TEST_052,오염
TEST_053,터짐
TEST_054,훼손
TEST_055,훼손
TEST_056,훼손
TEST_057,훼손
TEST_058,훼손
TEST_059,오염
TEST_060,오타공
TEST_061,몰딩수정
TEST_062,훼손
TEST_063,오염
TEST_064,훼손
TEST_065,오염
TEST_066,오염
TEST_067,오염
TEST_068,훼손
TEST_069,터짐
TEST_070,오염
TEST_071,몰딩수정
TEST_072,오염
TEST_073,오염
TEST_074,훼손
TEST_075,터짐
TEST_076,터짐
TEST_077,오염
TEST_078,"창틀,문틀수정"
TEST_079,오염
TEST_080,몰딩수정
TEST_081,석고수정
TEST_082,몰딩수정
TEST_083,석고수정
TEST_084,걸레받이수정
TEST_085,훼손
TEST_086,오염
TEST_087,터짐
TEST_088,오염
TEST_089,걸레받이수정
TEST_090,오염
TEST_091,훼손
TEST_092,훼손
TEST_093,터짐
TEST_094,훼손
TEST_095,훼손
TEST_096,터짐
TEST_097,석고수정
TEST_098,훼손
TEST_099,오염
TEST_100,피스
TEST_101,훼손
